Trade_Date,Contract_Month,Months_To_Expiry,Spot_Price,Futures_Price,Basis,Basis_Pct,Open_Interest,Volume,Settlement_Price,Implied_Carry_Rate_Annual
2005-01-14,2005-02,1,6.6043,6.5965,-0.0078,-0.1186,135248,9636,6.613,1.56
2005-01-14,2005-03,2,6.6043,6.6558,0.0515,0.7798,80791,15923,6.6256,2.88
2005-01-14,2005-04,3,6.6043,6.6735,0.0692,1.0476,189039,24805,6.6693,3.06
2005-01-14,2005-07,6,6.6043,6.59,-0.0143,-0.2163,245948,16896,6.6848,0.87
2005-01-14,2006-01,12,6.6043,6.548,-0.0563,-0.8527,80649,6533,6.5459,-1.19
2005-01-17,2005-02,1,6.5835,6.5441,-0.0393,-0.5975,136034,16730,6.5128,2.26
2005-01-17,2005-03,2,6.5835,6.5534,-0.0301,-0.457,178650,32671,6.572,-1.67
2005-01-17,2005-04,3,6.5835,6.6355,0.0521,0.791,244889,34682,6.6338,1.05
2005-01-17,2005-07,6,6.5835,6.628,0.0445,0.6762,140383,24389,6.6767,2.42
2005-01-17,2006-01,12,6.5835,6.7932,0.2097,3.1857,144445,31048,6.8505,2.51
2005-01-18,2005-02,1,6.571,6.5742,0.0031,0.0473,103444,12997,6.6389,2.44
2005-01-18,2005-03,2,6.571,6.5841,0.0131,0.1994,215779,40406,6.6052,1.44
2005-01-18,2005-04,3,6.571,6.5921,0.0211,0.3205,205451,18371,6.5345,2.0
2005-01-18,2005-07,6,6.571,6.5157,-0.0553,-0.8422,97609,13042,6.4929,-0.22
2005-01-18,2006-01,12,6.571,6.6284,0.0573,0.8721,209871,40219,6.6237,0.81
2005-01-19,2005-02,1,6.6206,6.6195,-0.0012,-0.0177,244400,17485,6.6584,-1.41
2005-01-19,2005-03,2,6.6206,6.6269,0.0062,0.0942,245458,16820,6.5961,2.3
2005-01-19,2005-04,3,6.6206,6.6687,0.048,0.7256,235849,23932,6.6066,2.4
2005-01-19,2005-07,6,6.6206,6.5862,-0.0345,-0.5206,192478,32371,6.5928,-0.78
2005-01-19,2006-01,12,6.6206,6.6355,0.0149,0.2249,82506,16262,6.6993,0.19
2005-01-20,2005-02,1,6.6035,6.6156,0.0122,0.1841,133392,26306,6.5585,-1.85
2005-01-20,2005-03,2,6.6035,6.6486,0.0451,0.6826,152503,13778,6.6289,-0.09
2005-01-20,2005-04,3,6.6035,6.5782,-0.0253,-0.3835,198451,48145,6.4767,-0.65
2005-01-20,2005-07,6,6.6035,6.6975,0.094,1.4236,231950,29258,6.7273,3.8
2005-01-20,2006-01,12,6.6035,6.6038,0.0003,0.0049,155860,10446,6.5793,0.09
2005-01-21,2005-02,1,6.6199,6.6429,0.023,0.3474,166004,38162,6.7142,3.95
2005-01-21,2005-03,2,6.6199,6.6471,0.0272,0.4104,172566,41896,6.7033,-0.06
2005-01-21,2005-04,3,6.6199,6.6673,0.0474,0.7161,171698,28145,6.7075,2.14
2005-01-21,2005-07,6,6.6199,6.6942,0.0743,1.123,211324,39633,6.6722,1.87
2005-01-21,2006-01,12,6.6199,6.5397,-0.0802,-1.2121,158346,29271,6.5364,-0.96
2005-01-24,2005-02,1,6.5288,6.574,0.0452,0.692,208609,38125,6.5529,3.88
2005-01-24,2005-03,2,6.5288,6.5548,0.026,0.3989,142755,15512,6.5361,2.46
2005-01-24,2005-04,3,6.5288,6.5201,-0.0087,-0.1338,122297,16344,6.5484,-0.19
2005-01-24,2005-07,6,6.5288,6.5729,0.0441,0.675,153715,31871,6.507,1.1
2005-01-24,2006-01,12,6.5288,6.7461,0.2173,3.3285,93894,6581,6.7662,3.09
2005-01-25,2005-02,1,6.5743,6.5675,-0.0068,-0.1036,207897,43379,6.5704,-0.55
2005-01-25,2005-03,2,6.5743,6.6012,0.0268,0.4083,164686,16786,6.6147,2.99
2005-01-25,2005-04,3,6.5743,6.5074,-0.0669,-1.0183,143727,14066,6.4392,-1.98
2005-01-25,2005-07,6,6.5743,6.5511,-0.0232,-0.3535,218601,36935,6.6065,-1.53
2005-01-25,2006-01,12,6.5743,6.7704,0.1961,2.9832,210834,16463,6.7281,3.14
2005-01-26,2005-02,1,6.5702,6.5519,-0.0183,-0.2781,88946,6031,6.4896,-1.16
2005-01-26,2005-03,2,6.5702,6.5641,-0.0061,-0.0923,208505,14833,6.5254,-1.61
2005-01-26,2005-04,3,6.5702,6.6435,0.0733,1.1153,187577,21140,6.6198,3.55
2005-01-26,2005-07,6,6.5702,6.6172,0.047,0.7146,163537,16631,6.6965,2.14
2005-01-26,2006-01,12,6.5702,6.652,0.0818,1.2446,104449,12818,6.6525,1.65
2005-01-27,2005-02,1,6.6167,6.6375,0.0208,0.3138,146485,10336,6.6397,3.85
2005-01-27,2005-03,2,6.6167,6.5953,-0.0214,-0.3234,204640,48316,6.5353,-1.33
2005-01-27,2005-04,3,6.6167,6.5708,-0.046,-0.6948,223717,32518,6.537,-1.71
2005-01-27,2005-07,6,6.6167,6.5723,-0.0444,-0.6713,187483,31192,6.6063,-0.31
2005-01-27,2006-01,12,6.6167,6.5515,-0.0652,-0.9859,207909,36031,6.6362,-1.47
2005-01-28,2005-02,1,6.5736,6.5994,0.0257,0.3915,117071,13582,6.5733,2.39
2005-01-28,2005-03,2,6.5736,6.6072,0.0335,0.5103,112270,26732,6.6485,1.14
2005-01-28,2005-04,3,6.5736,6.6049,0.0313,0.4765,166996,38210,6.6263,0.57
2005-01-28,2005-07,6,6.5736,6.5684,-0.0052,-0.0791,198877,36638,6.5507,0.15
2005-01-28,2006-01,12,6.5736,6.675,0.1014,1.5422,229947,32934,6.6758,1.64
2005-01-31,2005-03,1,6.6313,6.6427,0.0115,0.1727,105165,12285,6.5726,3.59
2005-01-31,2005-04,2,6.6313,6.6663,0.035,0.5283,197693,17640,6.6637,1.88
2005-01-31,2005-05,3,6.6313,6.6294,-0.0018,-0.0276,158448,11594,6.6291,0.43
2005-01-31,2005-07,6,6.6313,6.7162,0.0849,1.2802,188276,31892,6.7412,2.85
2005-01-31,2006-01,12,6.6313,6.6579,0.0267,0.402,237291,50153,6.6482,-0.0
2005-02-01,2005-03,1,6.6955,6.7167,0.0213,0.3175,165433,30020,6.6681,1.69
2005-02-01,2005-04,2,6.6955,6.6734,-0.0221,-0.3299,216360,37072,6.6641,-0.59
2005-02-01,2005-05,3,6.6955,6.6831,-0.0123,-0.1839,135296,23754,6.7308,1.12
2005-02-01,2005-07,6,6.6955,6.7876,0.0921,1.3756,210684,23141,6.7958,2.2
2005-02-01,2006-01,12,6.6955,6.806,0.1105,1.6506,100181,8192,6.8404,1.4
2005-02-02,2005-03,1,6.7498,6.7681,0.0183,0.2717,148234,32393,6.7664,2.33
2005-02-02,2005-04,2,6.7498,6.7588,0.009,0.1336,241852,36017,6.7249,-1.12
2005-02-02,2005-05,3,6.7498,6.7542,0.0044,0.0648,107010,19684,6.7664,-1.8
2005-02-02,2005-08,6,6.7498,6.7576,0.0078,0.1162,214346,19336,6.6133,0.91
2005-02-02,2006-01,12,6.7498,6.6974,-0.0524,-0.7762,218296,46469,6.709,-0.49
2005-02-03,2005-03,1,6.7782,6.8065,0.0283,0.4174,229859,37712,6.7722,3.79
2005-02-03,2005-04,2,6.7782,6.7896,0.0114,0.1687,80078,4454,6.7763,2.0
2005-02-03,2005-05,3,6.7782,6.8092,0.031,0.4568,234726,40910,6.7973,2.9
2005-02-03,2005-08,6,6.7782,6.9015,0.1233,1.8192,244267,25916,6.9094,2.96
2005-02-03,2006-01,12,6.7782,6.9292,0.1509,2.227,126230,24290,6.9439,2.36
2005-02-04,2005-03,1,6.7515,6.7492,-0.0022,-0.033,104401,11853,6.7626,-1.08
2005-02-04,2005-04,2,6.7515,6.7813,0.0298,0.4414,110487,20733,6.7929,2.54
2005-02-04,2005-05,3,6.7515,6.7241,-0.0274,-0.4054,155004,35740,6.7024,-1.73
2005-02-04,2005-08,6,6.7515,6.8254,0.0739,1.0952,89318,10672,6.8486,2.97
2005-02-04,2006-01,12,6.7515,6.7826,0.0312,0.4616,111924,19430,6.8236,0.22
2005-02-07,2005-03,1,6.759,6.8159,0.0569,0.8422,161615,32969,6.7715,0.97
2005-02-07,2005-04,2,6.759,6.7985,0.0395,0.5848,103188,13046,6.8298,-0.3
2005-02-07,2005-05,3,6.759,6.7857,0.0267,0.3947,232788,41182,6.7445,-0.53
2005-02-07,2005-08,6,6.759,6.8348,0.0757,1.1206,150444,9514,6.8645,2.38
2005-02-07,2006-02,12,6.759,6.7351,-0.0239,-0.354,113971,6908,6.7491,-0.25
2005-02-08,2005-03,1,6.7758,6.7602,-0.0156,-0.2301,192510,40036,6.7677,-1.75
2005-02-08,2005-04,2,6.7758,6.7956,0.0198,0.2918,86973,10717,6.7054,1.97
2005-02-08,2005-05,3,6.7758,6.8205,0.0447,0.6591,237634,17525,6.9842,2.47
2005-02-08,2005-08,6,6.7758,6.7647,-0.0111,-0.1637,246733,22397,6.7751,0.91
2005-02-08,2006-02,12,6.7758,6.9047,0.1289,1.9022,200474,11726,6.8094,2.31
2005-02-09,2005-03,1,6.7723,6.7535,-0.0187,-0.2767,98875,19176,6.8325,3.5
2005-02-09,2005-04,2,6.7723,6.8373,0.0651,0.9609,170323,11650,6.8305,1.75
2005-02-09,2005-05,3,6.7723,6.785,0.0127,0.1879,112019,9296,6.7966,0.6
2005-02-09,2005-08,6,6.7723,6.8054,0.0332,0.4897,248538,45522,6.8214,0.26
2005-02-09,2006-02,12,6.7723,6.9698,0.1975,2.9162,84636,17814,6.9959,2.83
2005-02-10,2005-03,1,6.7649,6.8056,0.0407,0.602,230844,57582,6.7743,3.22
2005-02-10,2005-04,2,6.7649,6.8177,0.0528,0.7808,103873,22647,6.7717,2.08
2005-02-10,2005-05,3,6.7649,6.7716,0.0067,0.0992,120761,14677,6.8037,2.76
2005-02-10,2005-08,6,6.7649,6.7364,-0.0285,-0.421,182973,34091,6.6453,-0.14
2005-02-10,2006-02,12,6.7649,6.7899,0.025,0.3695,111418,14276,6.7605,0.09
2005-02-11,2005-03,1,6.741,6.7287,-0.0123,-0.1819,132048,7042,6.7614,0.35
2005-02-11,2005-04,2,6.741,6.7561,0.0151,0.2244,185911,11436,6.8202,-0.43
2005-02-11,2005-05,3,6.741,6.7825,0.0415,0.6164,124428,6470,6.8515,1.74
2005-02-11,2005-08,6,6.741,6.814,0.073,1.0832,185756,22856,6.7538,1.93
2005-02-11,2006-02,12,6.741,6.7616,0.0206,0.3052,121060,14284,6.6982,0.26
2005-02-14,2005-03,1,6.7683,6.7911,0.0228,0.3364,224525,32817,6.7814,3.64
2005-02-14,2005-04,2,6.7683,6.772,0.0037,0.0545,145279,35924,6.7566,-0.68
2005-02-14,2005-05,3,6.7683,6.8338,0.0655,0.9679,193873,43004,6.8204,2.92
2005-02-14,2005-08,6,6.7683,6.8232,0.0549,0.8117,184674,35247,6.8002,2.15
2005-02-14,2006-02,12,6.7683,6.7046,-0.0637,-0.9409,203174,40191,6.6824,-0.59
2005-02-15,2005-03,1,6.7969,6.8171,0.0202,0.2977,246939,46887,6.9106,3.54
2005-02-15,2005-04,2,6.7969,6.794,-0.0029,-0.0424,195354,21595,6.7593,2.08
2005-02-15,2005-05,3,6.7969,6.8501,0.0531,0.7819,104004,14489,6.8721,0.95
2005-02-15,2005-08,6,6.7969,6.8807,0.0838,1.2329,197531,43673,6.749,2.37
2005-02-15,2006-02,12,6.7969,6.9492,0.1523,2.2414,108910,21184,6.9067,2.07
2005-02-16,2005-03,1,6.8083,6.8414,0.0331,0.4859,207196,36347,6.906,1.67
2005-02-16,2005-04,2,6.8083,6.8233,0.015,0.2196,84429,20852,6.8112,3.63
2005-02-16,2005-05,3,6.8083,6.7888,-0.0196,-0.2874,88880,15818,6.7667,-0.94
2005-02-16,2005-08,6,6.8083,6.7676,-0.0408,-0.5987,105530,21156,6.7508,-1.21
2005-02-16,2006-02,12,6.8083,6.925,0.1166,1.7133,221543,25554,6.9653,1.58
2005-02-17,2005-03,1,6.7477,6.7834,0.0357,0.5294,116482,7124,6.8631,-1.07
2005-02-17,2005-04,2,6.7477,6.7658,0.0181,0.2677,237583,43013,6.7844,0.56
2005-02-17,2005-05,3,6.7477,6.8252,0.0775,1.1484,106921,7558,6.7845,2.78
2005-02-17,2005-08,6,6.7477,6.8022,0.0545,0.807,183896,13537,6.8232,1.2
2005-02-17,2006-02,12,6.7477,6.6919,-0.0558,-0.8265,225057,20889,6.6227,-1.04
2005-02-18,2005-03,1,6.8619,6.8751,0.0132,0.1924,142479,18461,6.9377,0.09
2005-02-18,2005-04,2,6.8619,6.8776,0.0158,0.2297,109086,25853,6.9332,0.1
2005-02-18,2005-05,3,6.8619,6.8389,-0.023,-0.3345,204774,22686,6.8006,-0.04
2005-02-18,2005-08,6,6.8619,6.8545,-0.0074,-0.1075,236154,47750,6.7958,-0.22
2005-02-18,2006-02,12,6.8619,6.9082,0.0463,0.6751,174458,33494,6.9599,0.57
2005-02-21,2005-03,1,6.835,6.8208,-0.0142,-0.2072,129659,19657,6.7152,0.5
2005-02-21,2005-04,2,6.835,6.8681,0.0331,0.4846,154284,25720,6.9036,3.97
2005-02-21,2005-05,3,6.835,6.8409,0.006,0.0874,202895,23193,6.7487,0.98
2005-02-21,2005-08,6,6.835,6.9444,0.1094,1.601,88883,12691,6.936,3.65
2005-02-21,2006-02,12,6.835,7.0501,0.2151,3.1478,226931,14370,6.9998,3.54
2005-02-22,2005-03,1,6.8601,6.9061,0.046,0.6706,136334,20534,7.0387,-0.12
2005-02-22,2005-04,2,6.8601,6.8525,-0.0076,-0.1109,144243,24820,6.8147,-1.98
2005-02-22,2005-05,3,6.8601,6.9212,0.0611,0.8906,88008,18070,6.9444,1.7
2005-02-22,2005-08,6,6.8601,6.9312,0.0711,1.0368,241836,30942,6.9344,2.13
2005-02-22,2006-02,12,6.8601,6.9394,0.0793,1.1566,165770,9338,6.8474,1.04
2005-02-23,2005-03,1,6.8196,6.8547,0.035,0.514,136140,30193,6.8342,2.58
2005-02-23,2005-04,2,6.8196,6.8316,0.012,0.176,106843,12492,6.8973,1.84
2005-02-23,2005-05,3,6.8196,6.8909,0.0713,1.0458,175383,14892,6.9236,2.88
2005-02-23,2005-08,6,6.8196,6.7759,-0.0437,-0.6414,219418,53935,6.7953,-0.41
2005-02-23,2006-02,12,6.8196,6.8772,0.0576,0.8445,121391,29287,6.9606,0.96
2005-02-24,2005-03,1,6.8732,6.8759,0.0027,0.0391,187107,21147,6.9735,1.07
2005-02-24,2005-04,2,6.8732,6.8337,-0.0395,-0.5752,126885,25473,6.7261,-1.41
2005-02-24,2005-05,3,6.8732,6.9002,0.027,0.3928,133235,30579,7.0447,1.36
2005-02-24,2005-08,6,6.8732,7.0121,0.1389,2.0205,192328,31560,7.0704,3.94
2005-02-24,2006-02,12,6.8732,6.9718,0.0985,1.4335,207894,28409,6.9302,1.76
2005-02-25,2005-03,1,6.7912,6.8512,0.06,0.8839,189671,32245,6.8369,3.53
2005-02-25,2005-04,2,6.7912,6.8263,0.0352,0.5179,190886,21825,6.8304,2.29
2005-02-25,2005-05,3,6.7912,6.8296,0.0384,0.5654,91176,6196,6.788,2.16
2005-02-25,2005-08,6,6.7912,6.7868,-0.0043,-0.0637,210244,15663,6.771,0.75
2005-02-25,2006-02,12,6.7912,6.7797,-0.0114,-0.1681,152017,8374,6.703,-0.57
2005-02-28,2005-03,1,6.8369,6.886,0.0492,0.7191,127911,31857,6.9107,3.58
2005-02-28,2005-04,2,6.8369,6.8364,-0.0004,-0.006,97338,17606,6.7655,-0.07
2005-02-28,2005-05,3,6.8369,6.9021,0.0652,0.9538,223972,27420,6.8979,3.4
2005-02-28,2005-08,6,6.8369,6.8715,0.0346,0.5063,234883,58348,6.8378,0.94
2005-02-28,2006-02,12,6.8369,6.8457,0.0088,0.129,82801,9102,6.8155,0.15
2005-03-01,2005-03,1,6.905,6.9063,0.0012,0.018,95266,14550,6.7967,-0.23
2005-03-01,2005-04,2,6.905,6.8968,-0.0082,-0.1188,126143,7216,6.844,0.44
2005-03-01,2005-05,3,6.905,6.909,0.0039,0.057,85920,10710,7.0236,-0.05
2005-03-01,2005-08,6,6.905,6.9053,0.0002,0.0036,88186,8026,6.8681,-1.28
2005-03-01,2006-02,12,6.905,6.9764,0.0714,1.034,80378,17459,6.8945,0.8
2005-03-02,2005-04,1,6.8898,6.9098,0.02,0.2905,225794,29440,6.8996,3.97
2005-03-02,2005-05,2,6.8898,6.9147,0.0249,0.3611,115913,14258,6.9332,3.45
2005-03-02,2005-05,3,6.8898,6.8724,-0.0174,-0.2533,226582,20618,6.8368,-1.4
2005-03-02,2005-08,6,6.8898,6.9823,0.0925,1.3428,141205,30493,7.0621,3.09
2005-03-02,2006-02,12,6.8898,6.9868,0.097,1.4076,90470,11928,7.0339,1.23
2005-03-03,2005-04,1,6.8597,6.8455,-0.0142,-0.207,181838,32959,6.8668,-1.18
2005-03-03,2005-05,2,6.8597,6.8645,0.0048,0.0707,231495,39262,6.8551,2.04
2005-03-03,2005-06,3,6.8597,6.8809,0.0213,0.31,110277,14881,6.9112,1.14
2005-03-03,2005-08,6,6.8597,6.839,-0.0207,-0.3018,218423,39666,6.9079,-0.65
2005-03-03,2006-02,12,6.8597,7.0846,0.2249,3.2791,142124,23773,7.096,3.21
2005-03-04,2005-04,1,6.8325,6.8352,0.0027,0.04,124356,12717,6.802,0.01
2005-03-04,2005-05,2,6.8325,6.8065,-0.026,-0.3804,151930,13810,6.8649,-0.83
2005-03-04,2005-06,3,6.8325,6.8562,0.0237,0.347,125657,23691,6.7989,0.15
2005-03-04,2005-08,6,6.8325,6.7915,-0.041,-0.6006,200144,29942,6.7772,-0.54
2005-03-04,2006-02,12,6.8325,6.6888,-0.1437,-2.1035,213187,40015,6.6807,-1.98
2005-03-07,2005-04,1,6.8862,6.8911,0.0049,0.0705,119720,17317,6.857,2.33
2005-03-07,2005-05,2,6.8862,6.9016,0.0153,0.2227,114346,11799,6.9119,-1.04
2005-03-07,2005-06,3,6.8862,6.9527,0.0664,0.9649,82116,11747,6.9539,3.43
2005-03-07,2005-09,6,6.8862,6.9091,0.0229,0.3327,162477,27676,6.9143,0.94
2005-03-07,2006-03,12,6.8862,6.9831,0.0969,1.4073,218209,39097,7.0269,0.91
2005-03-08,2005-04,1,6.8482,6.8554,0.0071,0.1041,88586,13420,6.8454,-0.85
2005-03-08,2005-05,2,6.8482,6.8478,-0.0004,-0.0059,168240,30579,6.8185,-1.15
2005-03-08,2005-06,3,6.8482,6.894,0.0458,0.6688,163437,33547,6.8754,2.3
2005-03-08,2005-09,6,6.8482,6.9742,0.126,1.8397,179641,26077,7.0338,2.67
2005-03-08,2006-03,12,6.8482,7.0579,0.2097,3.0617,104009,23305,7.0668,2.82
2005-03-09,2005-04,1,6.9451,6.9326,-0.0125,-0.1803,212895,37554,6.9027,-1.91
2005-03-09,2005-05,2,6.9451,6.9401,-0.0049,-0.071,96574,5672,7.0039,-0.35
2005-03-09,2005-06,3,6.9451,7.0048,0.0597,0.8598,240874,22793,6.9891,1.92
2005-03-09,2005-09,6,6.9451,6.972,0.0269,0.3871,194913,17916,7.1157,0.97
2005-03-09,2006-03,12,6.9451,7.1977,0.2526,3.6372,222736,44050,7.1675,3.44
2005-03-10,2005-04,1,6.9069,6.9042,-0.0027,-0.0391,117903,27630,6.8592,2.24
2005-03-10,2005-05,2,6.9069,6.9225,0.0156,0.2257,209209,12421,6.9811,1.12
2005-03-10,2005-06,3,6.9069,6.9313,0.0244,0.3536,242516,45538,6.9564,1.77
2005-03-10,2005-09,6,6.9069,6.891,-0.0159,-0.2307,148687,9852,6.8287,1.7
2005-03-10,2006-03,12,6.9069,6.9004,-0.0065,-0.0936,150900,8859,6.9216,0.31
2005-03-11,2005-04,1,6.9183,6.9188,0.0005,0.0072,81675,17801,6.8893,-1.2
2005-03-11,2005-05,2,6.9183,6.9266,0.0083,0.1199,188143,34536,6.9332,2.31
2005-03-11,2005-06,3,6.9183,6.955,0.0367,0.5304,99766,18877,6.9894,1.45
2005-03-11,2005-09,6,6.9183,6.9685,0.0502,0.7252,97069,9509,6.9658,1.8
2005-03-11,2006-03,12,6.9183,7.0331,0.1148,1.6596,197077,48637,7.0522,1.25
2005-03-14,2005-04,1,6.8929,6.9054,0.0125,0.1812,220293,23584,6.8866,1.54
2005-03-14,2005-05,2,6.8929,6.9492,0.0563,0.8164,126167,29307,6.9329,3.64
2005-03-14,2005-06,3,6.8929,6.9167,0.0239,0.3461,139806,20025,6.8632,1.5
2005-03-14,2005-09,6,6.8929,6.8599,-0.033,-0.4784,163214,33846,6.85,-1.12
2005-03-14,2006-03,12,6.8929,6.8888,-0.0041,-0.0592,222227,29419,6.9057,-0.16
2005-03-15,2005-04,1,6.8832,6.8926,0.0094,0.1364,218262,25124,6.9222,3.65
2005-03-15,2005-05,2,6.8832,6.8688,-0.0145,-0.21,197940,24271,6.8619,-0.17
2005-03-15,2005-06,3,6.8832,6.8862,0.003,0.0436,134094,15208,6.8689,-0.25
2005-03-15,2005-09,6,6.8832,6.8962,0.013,0.1886,193278,24890,6.8238,1.06
2005-03-15,2006-03,12,6.8832,7.1394,0.2562,3.7223,183764,42084,7.1394,3.31
2005-03-16,2005-04,1,7.027,7.0206,-0.0064,-0.0916,120391,20369,7.0102,0.85
2005-03-16,2005-05,2,7.027,6.9927,-0.0344,-0.4889,241233,28476,7.0191,-0.66
2005-03-16,2005-06,3,7.027,7.0292,0.0021,0.0305,162231,40538,6.9908,1.16
2005-03-16,2005-09,6,7.027,7.149,0.122,1.736,249768,25044,7.1472,2.49
2005-03-16,2006-03,12,7.027,6.9498,-0.0772,-1.0987,133947,27125,6.9797,-1.09
2005-03-17,2005-04,1,6.9493,6.9356,-0.0137,-0.1976,195157,20493,6.9692,3.11
2005-03-17,2005-05,2,6.9493,6.9456,-0.0037,-0.0532,119028,26542,6.9186,-1.18
2005-03-17,2005-06,3,6.9493,6.9641,0.0148,0.2136,235380,39976,6.9116,0.67
2005-03-17,2005-09,6,6.9493,6.9221,-0.0272,-0.3913,194714,43066,6.9253,-1.7
2005-03-17,2006-03,12,6.9493,7.2079,0.2586,3.7208,182702,33399,7.1534,3.5
2005-03-18,2005-04,1,6.9242,6.9315,0.0072,0.1047,96484,4836,6.9792,0.74
2005-03-18,2005-05,2,6.9242,6.8713,-0.0529,-0.7644,158206,19186,6.8472,0.05
2005-03-18,2005-06,3,6.9242,7.0146,0.0903,1.3042,244788,58464,6.9597,3.57
2005-03-18,2005-09,6,6.9242,6.9121,-0.0121,-0.1748,216016,44107,6.9477,-1.05
2005-03-18,2006-03,12,6.9242,6.9453,0.021,0.3034,168964,34307,6.9557,0.22
2005-03-21,2005-04,1,6.9021,6.896,-0.0061,-0.088,200699,13781,6.9125,1.1
2005-03-21,2005-05,2,6.9021,6.9516,0.0495,0.7166,185460,15999,7.0188,3.73
2005-03-21,2005-06,3,6.9021,6.9674,0.0653,0.9455,119975,9235,6.9352,2.26
2005-03-21,2005-09,6,6.9021,6.8557,-0.0464,-0.6721,191863,32165,6.7767,-0.86
