Week_Ending,Silver_Price_Close,CFTC_Commercial_Long,CFTC_Commercial_Short,CFTC_Commercial_Net,CFTC_NonCommercial_Long,CFTC_NonCommercial_Short,CFTC_NonCommercial_Net,CFTC_Total_Open_Interest,News_Sentiment_Score,Social_Media_Mentions,Google_Trends_Index,Put_Call_Ratio,Implied_Volatility_30D,ETF_SLV_Flow_Millions,Retail_Bullion_Premium_Pct
16-06-2006,10.9345,68605,111318,-42713,71474,46116,25358,297513,0.004,242,44,0.9329,24.6,68.71,4.57
23-06-2006,10.7833,57305,102853,-45548,77077,48795,28282,286030,0.0707,315,48,0.6403,17.27,-27.61,4.32
30-06-2006,10.7652,65017,116887,-51870,70824,34415,36409,287143,0.2077,244,27,0.5429,40.58,-10.07,6.32
07-07-2006,11.1781,62846,103062,-40216,56440,17767,38673,240115,-0.2856,188,18,1.2162,27.81,4.94,2.14
14-07-2006,11.3202,77759,105886,-28127,61836,37747,24089,283228,0.1041,219,8,1.7291,42.61,-40.71,2.03
21-07-2006,11.5064,87369,73652,13717,67575,36673,30902,265269,0.4335,195,34,1.3703,37.62,-51.62,8.18
28-07-2006,11.3912,50855,68160,-17305,65467,57858,7609,242340,0.3112,334,22,1.2581,34.13,46.14,9.44
04-08-2006,11.4501,42838,97678,-54840,66459,52697,13762,259672,-0.2257,140,26,0.7924,24.01,-29.1,3.88
11-08-2006,11.6326,88618,77294,11324,62905,20527,42378,249344,0.2555,176,15,1.3011,36.77,28.99,9.59
18-08-2006,11.6487,89442,89125,317,36850,54492,-17642,269909,0.5291,133,44,0.9197,22.87,2.58,9.87
25-08-2006,11.8388,51817,115975,-64158,55134,31389,23745,254315,-0.0575,243,10,1.2218,44.33,-39.54,3.6
01-09-2006,12.0291,77271,84557,-7286,55209,16588,38621,233625,0.0448,133,42,1.2501,15.79,26.66,9.01
08-09-2006,11.9571,84743,62296,22447,74291,28606,45685,249936,0.0792,145,40,0.8211,15.98,80.15,10.34
15-09-2006,11.9657,52053,62673,-10620,53011,32281,20730,200018,0.0244,199,9,0.9334,16.11,106.76,9.67
22-09-2006,12.0914,48571,117830,-69259,68107,52378,15729,286886,-0.3068,254,38,1.748,35.71,39.12,2.14
29-09-2006,12.2061,43540,77491,-33951,75420,28862,46558,225313,-0.0134,290,52,1.2608,16.15,-80.95,9.87
06-10-2006,12.1043,54095,90624,-36529,33916,49765,-15849,228400,0.4317,214,15,0.8896,33.77,51.87,5.82
13-10-2006,12.4782,53892,51631,2261,64658,56247,8411,226428,0.7158,262,42,1.1257,29.13,-42.61,3.92
20-10-2006,12.3929,40330,51482,-11152,74992,37705,37287,204509,0.3817,365,34,0.827,40.43,39.92,2.26
27-10-2006,12.2541,71700,104768,-33068,52245,24831,27414,253544,-0.3332,224,49,1.0129,19.16,-4.22,2.36
03-11-2006,12.321,53691,85560,-31869,59405,21648,37757,220304,-0.3719,270,53,1.4346,31.16,-7.51,4.91
10-11-2006,12.4474,80807,115703,-34896,35532,34302,1230,266344,0.1948,138,24,1.0299,42.57,44.51,3.74
17-11-2006,12.5614,99627,76515,23112,45275,32420,12855,253837,0.6667,216,28,1.7553,30.42,-41.07,11.27
24-11-2006,12.6989,55657,88134,-32477,37439,25884,11555,207114,-0.2494,52,19,1.1164,38.51,62.4,9.57
01-12-2006,12.7012,60747,67092,-6345,50198,47887,2311,225924,-0.2447,159,15,0.8694,43.56,-41.02,4.88
08-12-2006,12.9527,60503,54710,5793,73290,52222,21068,240725,-0.2963,210,68,0.8405,19.84,-36.13,7.43
15-12-2006,13.0921,94751,115048,-20297,39222,17998,21224,267019,0.1575,272,49,1.4466,15.16,-38.38,3.36
22-12-2006,12.619,82125,112732,-30607,37564,20855,16709,253276,-0.0018,171,6,1.2596,41.63,26.18,7.49
29-12-2006,12.6832,45560,86580,-41020,56289,58523,-2234,246952,-0.2613,199,45,1.0161,41.63,48.99,3.04
05-01-2007,13.0797,55022,58852,-3830,37962,59457,-21495,211293,-0.0245,159,34,1.1683,41.36,-9.37,10.41
12-01-2007,13.0219,78873,107005,-28132,37342,15615,21727,238835,0.2254,262,37,0.8382,30.24,-49.28,10.61
19-01-2007,12.593,83710,119339,-35629,34266,16002,18264,253317,-0.0142,163,10,0.7374,30.21,19.86,2.79
26-01-2007,12.7698,83402,53751,29651,61012,44750,16262,242915,-0.1789,260,50,1.1633,21.98,-104.34,11.47
02-02-2007,12.822,62034,107366,-45332,64460,15739,48721,249599,-0.1291,149,27,1.5997,27.84,-65.66,1.62
09-02-2007,13.1155,42079,87404,-45325,59299,48756,10543,237538,-0.1605,166,38,1.5625,17.1,-9.42,10.53
16-02-2007,12.9203,60482,100394,-39912,52331,45922,6409,259129,0.3144,250,25,0.7833,20.88,17.33,1.2
23-02-2007,12.9661,61736,111016,-49280,43642,55274,-11632,271668,-0.0214,341,16,1.3791,16.76,4.84,9.21
02-03-2007,13.1768,56726,97984,-41258,38182,25201,12981,218093,-0.6177,82,49,0.8047,39.38,23.03,6.62
09-03-2007,12.667,74596,69114,5482,74650,28876,45774,247236,-0.015,231,11,1.7615,38.93,60.75,8.5
16-03-2007,13.1803,59982,77127,-17145,71401,24272,47129,232782,-0.1858,193,11,1.1787,24.83,13.51,5.52
23-03-2007,13.208,55039,76798,-21759,44664,29896,14768,206397,0.3065,256,9,1.6114,35.48,-85.84,1.3
30-03-2007,12.8581,93299,66090,27209,75971,42478,33493,277838,0.1824,252,10,1.7754,43.71,1.36,9.37
06-04-2007,13.0185,78439,83290,-4851,73025,52069,20956,286823,0.5026,304,29,1.1115,32.96,-75.27,5.07
13-04-2007,12.9513,73334,60145,13189,78597,40153,38444,252229,-0.0282,182,12,0.8917,23.19,64.5,1.5
20-04-2007,13.2796,69187,100601,-31414,50360,19814,30546,239962,-0.4353,136,5,0.6334,43.68,-72.15,10.48
27-04-2007,13.0751,66704,83443,-16739,77395,18080,59315,245622,-0.2634,292,30,0.9377,33.95,55.88,8.82
04-05-2007,13.0079,48149,78955,-30806,76302,22159,54143,225565,-0.1343,164,34,1.0862,17.03,39.38,1
11-05-2007,13.0775,61494,73643,-12149,41920,32102,9818,209159,-0.3664,185,12,1.6063,25.05,-32.72,7.71
18-05-2007,13.1178,65647,85808,-20161,59393,15610,43783,226458,-0.063,209,30,0.8816,37.03,70.78,10.84
25-05-2007,13.0825,47271,87225,-39954,70426,49630,20796,254552,-0.0768,128,19,1.1981,18.21,7.51,10.09
01-06-2007,13.0885,96673,105834,-9161,57921,40704,17217,301132,0.3366,248,34,1.2023,32.66,3.53,8.58
08-06-2007,13.0188,46801,61001,-14200,53972,46992,6980,208766,-0.0976,168,8,1.2681,17.36,33.09,3.65
15-06-2007,13.0239,96784,52817,43967,69362,52993,16369,271956,0.0925,118,46,1.7332,33.43,16.15,11.63
22-06-2007,13.4545,40443,81417,-40974,54139,16200,37939,192199,0.1417,134,42,0.9339,18.22,64.15,1.73
29-06-2007,13.1428,73307,100426,-27119,45578,28246,17332,247557,-0.5872,211,13,1.1732,40.41,23.81,3.89
06-07-2007,13.3557,69027,71299,-2272,71256,50641,20615,262223,0.1279,66,12,1.7292,38.46,58.25,2.5
13-07-2007,13.4864,66533,76808,-10275,39971,48355,-8384,231667,-0.1481,100,31,1.7023,21.88,63.68,1.17
20-07-2007,13.5031,46507,51723,-5216,71975,45447,26528,215652,-0.119,322,8,0.696,18.67,52.23,8.47
27-07-2007,13.4739,53691,100228,-46537,38286,34034,4252,226239,-0.0008,184,39,1.6272,39.8,22.09,11.66
03-08-2007,13.6214,50169,94296,-44127,46267,28038,18229,218770,0.0787,68,15,0.6402,36.46,-22.02,7.73
10-08-2007,13.826,90667,115196,-24529,64121,32620,31501,302604,-0.0934,80,28,1.6029,20,94.26,10.89
17-08-2007,13.5835,68788,101484,-32696,46556,17612,28944,234440,-0.2036,273,29,0.6342,25.42,-32.23,5.71
24-08-2007,13.8819,66194,72836,-6642,76219,29633,46586,244882,-0.2721,240,30,0.8149,25.02,152.96,7.98
31-08-2007,14.029,95539,103247,-7708,57678,17187,40491,273651,-0.2315,198,19,1.029,31.45,56.7,3.22
07-09-2007,13.9307,65555,103450,-37895,77232,35590,41642,281827,-0.1912,33,30,0.9399,20.89,-39.16,1.58
14-09-2007,13.9779,57854,63074,-5220,56757,49239,7518,226924,-0.6739,184,29,1.3402,34.08,27.41,10.02
21-09-2007,13.9154,97988,67005,30983,36136,28030,8106,229159,0.3231,407,5,1.2365,42.13,-3.58,9.83
28-09-2007,14.3432,62373,117446,-55073,63457,19308,44149,262584,-0.2714,190,19,0.9175,30.19,-10.73,4.29
05-10-2007,14.1072,97640,65671,31969,40051,54714,-14663,258076,0.7367,134,36,1.3409,38.72,20.65,1.63
12-10-2007,14.0224,99319,54470,44849,42908,54078,-11170,250775,-0.025,99,70,1.1649,18.81,25.28,2.7
19-10-2007,14.273,91352,58581,32771,38345,56654,-18309,244932,0.424,317,22,0.8517,33.47,2.18,4.65
26-10-2007,14.0315,87280,53924,33356,65353,33193,32160,239750,0.3596,135,33,1.4481,28.91,-67.29,2.84
02-11-2007,14.4738,76669,82733,-6064,33675,54144,-20469,247221,-0.2573,101,43,1.5281,40.48,15.53,6.44
09-11-2007,14.4714,50578,102242,-51664,68366,28826,39540,250012,-0.7882,75,26,0.9481,20.09,41,2.13
16-11-2007,14.2778,90482,77992,12490,74099,44063,30036,286636,-0.3647,212,11,1.6363,34.48,-38.76,7.16
23-11-2007,14.2958,40488,104895,-64407,36180,48029,-11849,229592,0.2797,290,12,0.7389,26,11.86,5.2
30-11-2007,14.6341,49222,103033,-53811,50678,22553,28125,225486,-0.5405,160,24,1.615,34.39,-19.98,9.32
07-12-2007,14.6847,94764,66851,27913,47755,30180,17575,239550,-0.1839,393,5,0.586,42.15,-19.39,4.25
14-12-2007,14.4064,78840,87923,-9083,45898,36607,9291,249268,-0.2929,154,58,0.8429,44.5,-143.13,2.29
21-12-2007,14.6406,92426,88748,3678,76446,58253,18193,315873,-0.1368,272,48,1.6383,17.89,70.21,5.06
28-12-2007,14.5622,81059,67953,13106,32846,15505,17341,197363,0.1552,226,47,0.7534,22.97,25.28,11.54
04-01-2008,15.8352,62508,72865,-10357,52950,41671,11279,229994,0.184,192,38,1.2341,38.92,-10.28,7.13
11-01-2008,15.9235,69319,110269,-40950,65989,18111,47878,263688,0.0202,107,6,1.739,35.07,-18.81,1.94
18-01-2008,16.2915,88868,67331,21537,65784,17643,48141,239626,-0.0281,106,5,0.7691,17.86,56.45,6.01
25-01-2008,16.0178,65812,52254,13558,77791,54805,22986,250662,0.3576,174,38,0.5981,15.54,22.64,3.86
01-02-2008,18.4146,75258,83304,-8046,31535,47749,-16214,237846,-0.2207,158,28,0.7011,27.72,11.44,11.32
08-02-2008,18.8343,83082,53594,29488,45039,54695,-9656,236410,-0.0646,377,31,0.8651,38.87,29.12,3.82
15-02-2008,19.4853,98215,105721,-7506,77595,51389,26206,332920,0.1092,316,27,0.8216,18.81,77.67,11.77
22-02-2008,19.8053,74178,59694,14484,45607,58149,-12542,237628,-0.5175,235,43,1.0394,30,13.82,11.43
29-02-2008,19.9342,94194,63137,31057,46669,53101,-6432,257101,0.2698,269,17,1.3489,31.55,-25.37,11.18
07-03-2008,20.5413,95098,108360,-13262,77141,21640,55501,302239,-0.2653,207,36,0.8087,43.06,104.32,4.78
14-03-2008,20.5299,69835,57324,12511,57116,52344,4772,236619,-0.2642,238,15,1.1194,40.99,101.49,5.06
21-03-2008,20.7376,94908,117364,-22456,38689,53425,-14736,304386,0.1437,191,30,1.0745,40.13,-42.85,10.44
28-03-2008,20.5923,50490,118323,-67833,75224,24645,50579,268682,-0.0921,192,25,1.2468,20.98,-0.24,5.38
04-04-2008,19.71,45728,101694,-55966,56085,55490,595,258997,0.1632,186,12,1.511,35.84,-33.38,3.67
11-04-2008,19.9876,81215,84855,-3640,35261,23848,11413,225179,0.311,257,28,1.2113,27.26,7.33,1.36
18-04-2008,19.1014,71702,54200,17502,65718,18388,47330,210008,-0.2384,367,34,1.3593,15.32,-16.67,7.19
25-04-2008,19.4074,81434,50769,30665,78876,38074,40802,249153,0.4416,257,38,0.7792,36.32,-130.73,4.33
02-05-2008,19.3499,96612,72889,23723,71951,58628,13323,300080,0.0021,315,33,1.2796,25.94,-70.9,7.66
09-05-2008,19.0418,50420,114373,-63953,65445,41116,24329,271354,-0.0482,151,10,0.8673,23.27,-117.83,8.1
16-05-2008,18.4931,41931,65965,-24034,60477,53346,7131,221719,0.2313,310,28,1.5677,39.62,35.44,1.8
23-05-2008,18.9701,86031,95310,-9279,42411,19826,22585,243578,0.1187,253,20,1.0657,42.28,38.25,4.62
30-05-2008,18.44,53428,71975,-18547,39618,50041,-10423,215062,0.169,241,35,0.8313,42.44,3.95,5.26
06-06-2008,18.6788,98145,56351,41794,36698,30619,6079,221813,0.1095,395,6,0.8995,31.49,35.98,2.28
13-06-2008,18.4357,78669,73954,4715,49171,31891,17280,233685,-0.563,213,29,0.9366,21.58,-11.33,11.31
20-06-2008,18.0753,58990,99194,-40204,33195,25497,7698,216876,-0.0824,290,62,0.9575,19.33,-70.29,6.68
27-06-2008,18.0467,58462,115013,-56551,32778,25598,7180,231851,0.2167,246,39,1.1347,22.16,15.74,1.02
04-07-2008,18.0178,85752,107452,-21700,63936,16496,47440,273636,0.3186,366,28,0.736,22.33,87.76,4.36
11-07-2008,17.8216,53181,56628,-3447,33913,19794,14119,163516,0.2362,314,29,0.7444,44.99,51.88,8.69
18-07-2008,18.1814,65246,101426,-36180,46067,33212,12855,245951,0.226,294,26,0.7064,19.62,-32.43,5.2
25-07-2008,18.3222,59891,115778,-55887,32715,24349,8366,232733,-0.3261,192,5,0.9747,26.63,62.7,7.22
01-08-2008,15.1926,49179,116259,-67080,52101,24098,28003,241637,0.1622,251,52,0.5314,26.82,-2.98,7.48
08-08-2008,14.2538,67143,99017,-31874,46051,53912,-7861,266123,-0.0626,256,31,0.8348,19.81,-2.72,10.66
15-08-2008,13.8885,47661,95241,-47580,57604,18552,39052,219058,0.2445,266,20,1.5719,27.92,6.69,1.29
22-08-2008,13.2457,63673,97841,-34168,32729,24556,8173,218799,-0.0639,274,34,0.9357,28.08,28.34,6.26
29-08-2008,12.4755,43012,67778,-24766,38756,44320,-5564,193866,-0.0012,230,26,1.447,32.35,-127.06,10.9
05-09-2008,12.0031,47800,98221,-50421,53913,45948,7965,245882,-0.1844,226,14,1.5037,34.85,-39.06,4.15
12-09-2008,11.1484,82115,117195,-35080,30097,17019,13078,246426,0.3764,229,29,0.6887,31.2,-70.53,3.34
19-09-2008,10.5661,81015,66269,14746,44179,58760,-14581,250223,-0.0664,253,5,1.1214,23.07,-32.71,5.81
26-09-2008,9.7191,45006,68361,-23355,31785,34859,-3074,180011,-0.543,184,38,0.5312,41.89,23.2,1.55
03-10-2008,9.6153,81527,71376,10151,76550,33845,42705,263298,0.2373,183,24,1.0835,24.83,30.61,6.2
10-10-2008,9.349,84100,102972,-18872,44894,34213,10681,266179,-0.328,106,24,0.8134,21.92,-7.55,11.62
17-10-2008,9.5911,41239,84087,-42848,48881,57235,-8354,231442,-0.2793,248,10,1.1458,16.99,-40.68,9.3
24-10-2008,9.4584,55962,55071,891,45771,20152,25619,176956,-0.0468,298,36,1.1988,40.8,36.33,7.54
31-10-2008,9.6717,93122,109804,-16682,51511,35854,15657,290291,0.1028,314,14,1.4773,35.66,-45.9,6.15
07-11-2008,10.1145,72364,109714,-37350,36332,35014,1318,253424,-0.2736,332,5,1.5315,29.33,-133.64,6.8
14-11-2008,10.4047,40302,86857,-46555,73155,49979,23176,250293,-0.5105,304,30,1.1055,35.07,-42.89,7.59
21-11-2008,10.3837,49036,62501,-13465,36418,35621,797,183576,0.3531,226,27,0.5928,19.88,-22.09,4.57
28-11-2008,10.799,59457,57067,2390,49487,21451,28036,187462,0.39,243,26,0.5657,35.13,-18.88,7.27
05-12-2008,10.811,54960,64255,-9295,32182,27883,4299,179280,-0.2702,230,30,1.2814,32.85,11.86,10
12-12-2008,10.8586,87899,90643,-2744,42699,22383,20316,243624,-0.0969,180,67,1.0428,30.92,76.29,1.43
19-12-2008,10.8033,70513,66445,4068,62191,47756,14435,246905,-0.1881,286,36,1.5951,36.6,-3.94,4
26-12-2008,10.7551,96158,51249,44909,73684,19061,54623,240152,-0.2072,341,41,1.3799,33.75,10.79,1.11
02-01-2009,11.3032,95855,104170,-8315,59382,46640,12742,306047,-0.0492,278,24,1.4418,24.98,-31.31,7.08
09-01-2009,11.4423,82197,84489,-2292,42491,39721,2770,248898,0.2043,73,5,0.596,40.31,22.8,7.8
16-01-2009,11.27,60234,95969,-35735,68906,38478,30428,263587,-0.1347,233,22,1.3367,39.69,4.54,9.69
23-01-2009,11.3871,88127,86154,1973,78273,30715,47558,283269,0.1025,167,31,1.4868,30.13,-1.21,4.56
30-01-2009,11.2578,86136,114568,-28432,63961,36074,27887,300739,0.2938,251,31,1.2361,26.9,118.55,7.21
06-02-2009,11.9209,80781,99000,-18219,48925,38725,10200,267431,-0.2764,278,5,1.6352,35.11,49.63,8.27
13-02-2009,12.4323,87012,86281,731,40769,24393,16376,238455,-0.2505,230,37,1.0241,17.57,32.9,6.38
20-02-2009,12.425,58335,86556,-28221,67529,58670,8859,271090,-0.2847,195,40,0.6933,40.05,1.24,11.4
27-02-2009,12.3421,57762,59048,-1286,72600,53852,18748,243262,0.1923,76,24,1.332,38.04,-93.63,9.83
06-03-2009,12.692,60356,63512,-3156,44566,28812,15754,197246,0.7189,193,40,0.747,28.66,-32.09,9.57
13-03-2009,12.6656,47000,111709,-64709,36860,55425,-18565,250994,0.2019,277,31,0.5233,36.91,-23.44,5.15
20-03-2009,13.0804,42763,100741,-57978,50524,43611,6913,237639,0.4071,250,38,1.0006,26.89,-64.54,7.91
27-03-2009,12.9525,70402,90457,-20055,38427,27655,10772,226941,-0.0562,279,51,1.6669,43.44,-11.17,4.56
03-04-2009,13.1577,49113,51738,-2625,60136,16981,43155,177968,0.2188,314,7,1.4996,18.06,35.14,10.4
10-04-2009,13.3336,89658,101807,-12149,60379,46838,13541,298682,0.3047,265,21,1.4015,42.62,-3.48,6.28
17-04-2009,13.75,94077,86170,7907,51460,35264,16196,266971,0.1028,385,28,1.6499,16.86,-37.88,8.13
24-04-2009,13.8174,89551,90940,-1389,32822,28997,3825,242310,0.1626,158,26,0.9395,24.54,-111.87,5.1
01-05-2009,13.8572,62008,56730,5278,64474,48874,15600,232086,0.1198,247,28,0.9318,22.92,43.39,4.13
08-05-2009,13.9527,82143,80631,1512,48482,59598,-11116,270854,-0.072,190,9,1.4737,42.29,-32.46,1.17
15-05-2009,14.2048,86941,93382,-6441,68370,55222,13148,303915,0.2939,213,32,1.2129,26.13,-14.86,11.27
22-05-2009,14.5274,44475,114973,-70498,58887,20125,38762,238460,-0.103,239,5,0.9963,40.77,-21.68,8.92
29-05-2009,14.3645,93554,70354,23200,41841,28273,13568,234022,-0.1164,338,16,0.7499,38.17,-86.95,6.23
05-06-2009,14.6192,46998,53956,-6958,76726,29362,47364,207042,0.1697,340,32,1.5682,35.86,39.97,9.23
12-06-2009,14.5663,89890,113991,-24101,32184,54966,-22782,291031,-0.1099,285,43,0.6406,20.44,-29.5,11.28
19-06-2009,14.606,82580,53692,28888,32569,58341,-25772,227182,0.4753,193,37,1.3521,31.79,142.38,8.09
26-06-2009,14.3919,79436,56916,22520,57170,24303,32867,217825,-0.1725,353,18,1.7286,42.77,-36.82,6.57
03-07-2009,15.1349,69443,54625,14818,46216,19390,26826,189674,-0.2925,360,9,0.5147,18.03,69.87,3.97
10-07-2009,15.0808,62377,116509,-54132,54314,48039,6275,281239,0.1494,229,41,1.6261,21.68,39.23,7.79
17-07-2009,15.1852,71682,88265,-16583,59678,48334,11344,267959,-0.5398,217,30,1.7767,42.74,-76.39,8.54
24-07-2009,15.355,45043,79124,-34081,39733,30111,9622,194011,0.5107,286,5,1.7582,28.05,40.71,5.48
31-07-2009,15.3532,48123,113512,-65389,63064,50273,12791,274972,-0.1927,328,22,0.8461,35.79,24.3,8.18
07-08-2009,15.6641,92890,83681,9209,61578,53637,7941,291786,-0.3587,330,18,0.5265,32.85,-18.15,1.49
14-08-2009,15.7325,51829,85405,-33576,58724,46004,12720,241962,-0.1859,211,33,1.4187,30.6,48.26,8.2
21-08-2009,15.7709,59514,80374,-20860,65150,23329,41821,228367,0.1223,329,47,0.9601,28.99,41.76,6.75
28-08-2009,16.0429,79640,76894,2746,64031,32091,31940,252656,0.3361,315,41,1.5801,15.43,9.88,2.69
04-09-2009,15.9399,93642,106924,-13282,51205,40765,10440,292536,-0.0354,328,41,0.8808,28.08,26.84,11.95
11-09-2009,16.3349,82872,61134,21738,52587,34090,18497,230683,0.1739,192,8,1.5018,25.73,75.98,3.49
18-09-2009,16.3731,75600,66438,9162,56014,50939,5075,248991,-0.0764,317,46,1.3357,35.79,31.19,1.51
25-09-2009,16.3129,88148,119665,-31517,63959,20272,43687,292044,0.014,232,42,0.7335,16.06,43.45,6.62
02-10-2009,16.5907,86436,89157,-2721,45649,34729,10920,255971,-0.1454,287,27,0.7534,38.67,-45,8.77
09-10-2009,16.8969,51452,115701,-64249,36405,26991,9414,230549,-0.3884,243,9,1.409,25.42,-4.63,6.28
16-10-2009,16.6195,67235,85450,-18215,64609,21947,42662,239241,0.0002,161,31,0.9625,40.46,139.74,7.69
23-10-2009,16.962,97535,58073,39462,67739,30580,37159,253927,-0.283,324,27,1.302,35.2,-43.95,1.06
30-10-2009,16.6997,69010,57201,11809,78024,46731,31293,250966,0.6407,103,37,0.7298,33.86,-87.87,5.42
06-11-2009,16.9011,82767,57859,24908,49501,51343,-1842,241470,0.2875,397,16,0.523,16.77,85.94,10.12
13-11-2009,17.4874,48149,62735,-14586,56701,45153,11548,212738,-0.1575,215,8,0.826,38.29,28.46,6.49
20-11-2009,17.0456,54777,115546,-60769,47584,53369,-5785,271276,-0.1361,232,27,0.987,20.02,11.83,1.62
27-11-2009,17.4733,60498,83617,-23119,76815,28779,48036,249709,0.3124,231,22,0.7749,34.24,-42.87,11.17
04-12-2009,17.873,78658,67207,11451,70765,54512,16253,271142,0.2443,96,29,1.674,38.75,23.85,8.3
11-12-2009,17.545,87178,84693,2485,53544,30605,22939,256020,0.2029,297,18,0.9036,37.45,-37.45,6.08
18-12-2009,17.4277,76635,101734,-25099,66110,27914,38196,272393,0.5331,267,35,1.7316,18.52,108.95,4.63
25-12-2009,17.5302,40228,117789,-77561,67815,49831,17984,275663,-0.5393,276,40,1.1075,24.46,-50.23,6.88
01-01-2010,17.2367,75904,83241,-7337,46825,45648,1177,251618,-0.1956,240,28,0.5778,34.69,61.6,9.18
08-01-2010,16.8872,41945,116729,-74784,51636,53820,-2184,264130,-0.1905,194,24,0.7497,16,-15.33,10.38
15-01-2010,16.7309,53942,70458,-16516,70626,30039,40587,225065,-0.2343,248,5,1.675,33.25,-89.98,10.32
22-01-2010,16.9535,58239,80989,-22750,48990,23473,25517,211691,0.0158,367,72,1.4451,32.03,-114.11,3.2
29-01-2010,17.1485,67212,62449,4763,39363,18877,20486,187901,0.5229,318,43,0.9185,23.93,22.63,7.9
05-02-2010,17.5515,66794,52771,14023,36462,23468,12994,179495,-0.3554,160,44,1.1725,24.05,-17.11,8.17
12-02-2010,17.4722,89634,104201,-14567,46451,45904,547,286190,0.2688,371,11,1.7374,16.34,-6.83,1.38
19-02-2010,17.534,95474,99206,-3732,33712,47756,-14044,276148,0.0758,363,41,1.6321,39.49,-108.43,5.67
26-02-2010,17.549,88127,105902,-17775,62967,32172,30795,289168,0.0247,114,51,0.8814,41.59,2.07,4.24
05-03-2010,17.7263,62794,101649,-38855,37651,40270,-2619,242364,-0.292,250,14,1.3861,35.87,14.94,3.64
12-03-2010,17.7098,78975,76821,2154,73368,53780,19588,282944,0.0766,326,29,1.5582,32.41,-53.09,7.82
19-03-2010,17.8029,82246,115617,-33371,33410,52135,-18725,283408,-0.0609,226,12,0.556,20,-44.53,9.89
26-03-2010,17.9393,85482,94798,-9316,38313,32106,6207,250699,0.1558,170,23,1.7668,38.94,-15.25,8.6
02-04-2010,17.6423,50614,103002,-52388,41573,16639,24934,211828,-0.1486,304,53,0.7438,23.03,72.13,1.92
09-04-2010,17.7782,56817,88310,-31493,54270,26713,27557,226110,-0.3714,138,32,1.6743,42.05,-12.61,11.4
16-04-2010,17.9268,51733,53976,-2243,47296,20485,26811,173490,-0.2829,124,22,1.7736,34.49,47.49,4.98
